Title,Year,Rating,Length (minutes),Rating Amount,Metascore,Group,Short Description,Directors,Stars
Secrets of the Past,1982,8.5,94,994682,86.5,PG-13,A detective uncovers a twisted conspiracy that threatens to destroy everything.,Ava Morrow,Michael Fassbender
Dark Horizons,2011,7.9,149,854114,66.3,G,A soldier’s bravery saves his comrades in a battle for survival.,Ethan Drake,Tom Hardy
The Unseen Land,1963,7.4,92,78545,96.4,PG-13,A band of misfits must save the world from an impending catastrophe.,Zane Pierce,Eddie Redmayne
The Last Quest,1975,9.3,145,608950,80.3,R,A legendary monster is awakened from centuries of slumber.,Isabella Stone,Lupita Nyong’o
Reign of Chaos,2007,7.2,91,29303,54.1,PG,A group of rebels fight against an oppressive regime.,Anastasia Blake,Meryl Streep
Endless Nights,2010,8.3,115,63157,59.8,G,A group of rebels fight to overthrow a corrupt government.,Ella Mendez,Michelle Pfeiffer
Journey Beyond,1989,8.1,129,877752,58.5,PG,A brilliant scientist must race against time to prevent disaster.,Savannah King,Martin Freeman
Mystery of the Ancient,1998,9.3,104,222352,79.3,R,A woman’s journey to uncover the truth behind a family mystery.,Clara Wells,Ben Affleck
Whispers of Eternity,2018,7.4,98,664452,80.2,PG-13,A man must fight to protect his family from a deadly force.,Eva Storm,James McAvoy
Streets of the Underdog,2023,8.4,104,509966,77.6,PG,A group of rebels fight to overthrow a corrupt government.,Isabella Stone,Sophie Turner
Legacy of the Brave,1975,7.6,141,217523,62.5,PG,"In a dystopian future, the last hope for humanity lies in the hands of one.",Theodore West,Benedict Cumberbatch
Silent Requiem,1995,8.3,117,943600,83.4,PG-13,A woman’s pursuit of happiness leads to unexpected twists.,Leo Bellamy,Emma Watson
Hearts in Battle,1999,8.2,150,504236,67.0,R,A new technology threatens to change the fabric of society.,David Ashford,Kate Winslet
Storm’s End,1962,8.1,90,668292,64.4,PG-13,A detective must solve a series of murders that seem to be connected.,Sophie Blake,Zoe Saldana
Tales of the Forgotten,2012,7.4,102,28903,79.7,G,A man’s obsession with an ancient artifact leads to disaster.,Oliver Green,Tom Welling
The Forgotten King,1982,7.4,93,146536,94.8,PG-13,A young woman is forced to confront her darkest fears.,Sienna Bell,Samuel L. Jackson
