Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description,Directors,Star 1,Star 2,Star 3
The Machinist,2004,7.6,101,425000,R,61.0,An industrial worker who hasn't slept in a year begins to doubt his own sanity.,Brad Anderson,Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón
The Naked Gun: From the Files of Police Squad!,1988,7.6,85,192000,PG-13,76.0,Incompetent police Detective Frank Drebin must foil an attempt to assassinate Queen Elizabeth II.,David Zucker,Leslie Nielsen, Priscilla Presley, O.J. Simpson
Toy Story 4,2019,7.6,100,293000,G,84.0,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",Josh Cooley,Tom Hanks, Tim Allen, Annie Potts
The Road Warrior,1981,7.6,96,206000,R,77.0,"In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline-rich community get rid of a horde of bandits.",George Miller,Mel Gibson, Bruce Spence, Michael Preston
My Cousin Vinny,1992,7.6,120,147000,R,68.0,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience.",Jonathan Lynn,Joe Pesci, Marisa Tomei, Ralph Macchio
Eastern Promises,2007,7.6,100,268000,R,83.0,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.,David Cronenberg,Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl
Traffic,2000,7.6,147,223000,R,86.0,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",Steven Soderbergh,Michael Douglas, Benicio Del Toro, Catherine Zeta-Jones
Thelma & Louise,1991,7.6,130,180000,R,89.0,"Two best friends set out on an adventure, but it soon turns around to a terrifying escape from being hunted by the police, as these two women escape for the crimes they committed.",Ridley Scott,Susan Sarandon, Geena Davis, Harvey Keitel
Falling Down,1993,7.6,113,214000,R,56.0,An ordinary man frustrated with the various flaws he sees in society begins to psychotically and violently lash out against them.,Joel Schumacher,Michael Douglas, Robert Duvall, Barbara Hershey
Breakfast at Tiffany's,1961,7.6,115,197000,Approved,77.0,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.",Blake Edwards,Audrey Hepburn, George Peppard, Patricia Neal
Dark Waters,2019,7.6,126,113000,PG-13,73.0,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,Todd Haynes,Mark Ruffalo, Anne Hathaway, Tim Robbins
Die Hard with a Vengeance,1995,7.6,128,417000,R,58.0,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.",John McTiernan,Bruce Willis, Jeremy Irons, Samuel L. Jackson
The Little Mermaid,1989,7.6,83,299000,G,88.0,A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,"Ron Clements, John Musker",Jodi Benson, Samuel E. Wright, Rene Auberjonois
Searching,2018,7.6,102,185000,PG-13,71.0,"After his teenage daughter goes missing, a desperate father tries to find clues on her laptop.",Aneesh Chaganty,John Cho, Debra Messing, Joseph Lee
Snow White and the Seven Dwarfs,1937,7.6,83,222000,Approved,96.0,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.","William Cottrell, David Hand, Wilfred Jackson",Adriana Caselotti, Harry Stockwell, Lucille La Verne
3:10 to Yuma,2007,7.6,122,340000,R,76.0,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,James Mangold,Russell Crowe, Christian Bale, Ben Foster
The Art of Racing in the Rain,2019,7.6,109,41000,PG,43.0,"Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.",Simon Curtis,Kevin Costner, Milo Ventimiglia, Jackie Minns
Bridge of Spies,2015,7.6,142,334000,PG-13,81.0,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",Steven Spielberg,Tom Hanks, Mark Rylance, Alan Alda
Match Point,2005,7.6,124,232000,R,72.0,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",Woody Allen,Scarlett Johansson, Jonathan Rhys Meyers, Emily Mortimer
Rise of the Planet of the Apes,2011,7.6,105,589000,PG-13,68.0,A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.,Rupert Wyatt,James Franco, Andy Serkis, Freida Pinto
The Fault in Our Stars,2014,7.6,126,411000,PG-13,69.0,"Hazel and Gus are teenagers who meet at a cancer support group and fall in love. They both share the same acerbic wit and a love of books, especially ""An Imperial Affliction"", so they embark on a journey to visit an author in Amsterdam.",Josh Boone,Shailene Woodley, Ansel Elgort, Nat Wolff
The Royal Tenenbaums,2001,7.6,110,319000,R,76.0,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,Wes Anderson,Gene Hackman, Gwyneth Paltrow, Anjelica Huston
Where Eagles Dare,1968,7.6,158,65000,M,63.0,"Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on.",Brian G. Hutton,Richard Burton, Clint Eastwood, Mary Ure
The Jungle Book,1967,7.6,78,204000,Approved,65.0,Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,Wolfgang Reitherman,Phil Harris, Sebastian Cabot, Louis Prima
Robot Dreams,2023,7.6,103,19000,PG-13,87.0,The adventures and misfortunes of Dog and Robot in New York City during the 1980s.,Pablo Berger,Ivan Labanda,,
Dawn of the Planet of the Apes,2014,7.6,130,496000,PG-13,79.0,The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth.,Matt Reeves,Gary Oldman, Keri Russell, Andy Serkis
The Birds,1963,7.6,119,211000,PG-13,90.0,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,Alfred Hitchcock,Rod Taylor, Tippi Hedren, Jessica Tandy
"Planes, Trains & Automobiles",1987,7.6,93,169000,R,72.0,"A Chicago advertising man must struggle to travel home from New York for Thanksgiving, with a lovable oaf of a shower-curtain-ring salesman as his only companion.",John Hughes,Steve Martin, John Candy, Laila Robins
Gone Baby Gone,2007,7.6,114,300000,R,72.0,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",Ben Affleck,Morgan Freeman, Ed Harris, Casey Affleck
Kelly's Heroes,1970,7.6,144,56000,GP,50.0,A group of U.S. soldiers sneaks across enemy lines in WWII France to get their hands on a secret stash of Nazi treasure.,Brian G. Hutton,Clint Eastwood, Telly Savalas, Don Rickles
Creed,2015,7.6,133,318000,PG-13,82.0,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",Ryan Coogler,Michael B. Jordan, Sylvester Stallone, Tessa Thompson
The Mitchells vs. the Machines,2021,7.6,114,133000,PG,81.0,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.","Michael Rianda, Jeff Rowe",Abbi Jacobson, Danny McBride, Maya Rudolph
Suzume,2022,7.6,122,50000,PG,77.0,A modern action adventure road story where a 17-year-old girl named Suzume helps a mysterious young man close doors from the other side that are releasing disasters all over in Japan.,Makoto Shinkai,Nanoka Hara, Hokuto Matsumura, Eri Fukatsu
Lord of War,2005,7.6,122,345000,R,62.0,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,Andrew Niccol,Nicolas Cage, Ethan Hawke, Jared Leto
Rebel Without a Cause,1955,7.6,111,100000,PG-13,89.0,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",Nicholas Ray,James Dean, Natalie Wood, Sal Mineo
I Am Sam,2001,7.6,132,158000,PG-13,28.0,An intellectually disabled man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,Jessie Nelson,Sean Penn, Michelle Pfeiffer, Dakota Fanning
The Bridges of Madison County,1995,7.6,135,92000,PG-13,69.0,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,Clint Eastwood,Clint Eastwood, Meryl Streep, Annie Corley
Jeremiah Johnson,1972,7.6,108,36000,GP,75.0,A mountain man who wishes to live the life of a hermit becomes the unwilling object of a long vendetta by the Crow tribe and proves to be a match for their warriors in single combat on the early frontier.,Sydney Pollack,Robert Redford, Will Geer, Delle Bolton
Ponyo,2008,7.6,101,172000,G,86.0,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",Hayao Miyazaki,Cate Blanchett, Matt Damon, Liam Neeson
The Raid: Redemption,2011,7.6,101,222000,R,73.0,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,Gareth Evans,Iko Uwais, Ananda George, Ray Sahetapy
Philomena,2013,7.6,98,105000,PG-13,77.0,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",Stephen Frears,Judi Dench, Steve Coogan, Sophie Kennedy Clark
1900,1976,7.6,317,28000,Unrated,70.0,The epic tale of a class struggle in twentieth-century Italy as seen through the eyes of two childhood friends on opposing sides.,Bernardo Bertolucci,Robert De Niro, Gérard Depardieu, Dominique Sanda
Seven Pounds,2008,7.6,123,319000,PG-13,36.0,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,Gabriele Muccino,Will Smith, Rosario Dawson, Woody Harrelson
Guillermo del Toro's Pinocchio,2022,7.6,117,119000,PG,79.0,"A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child.","Guillermo del Toro, Mark Gustafson",Ewan McGregor, David Bradley, Gregory Mann
The Two Popes,2019,7.6,125,136000,PG-13,75.0,"Behind Vatican walls, the conservative Pope Benedict XVI and the liberal future Pope Francis must find common ground to forge a new path for the Catholic Church.",Fernando Meirelles,Jonathan Pryce, Anthony Hopkins, Juan Minujín
The Hurricane,1999,7.6,146,104000,R,74.0,"The story of Rubin 'Hurricane' Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence.",Norman Jewison,Denzel Washington, Vicellous Shannon, Deborah Kara Unger
Escape from Alcatraz,1979,7.6,112,152000,PG,76.0,"Alcatraz is the most secure prison of its time. It is believed that no one can ever escape from it, until three daring men make a possibly successful attempt at escaping from one of the most infamous prisons in the world.",Don Siegel,Clint Eastwood, Patrick McGoohan, Roberts Blossom
Run Lola Run,1998,7.6,80,212000,R,79.0,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks.",Tom Tykwer,Franka Potente, Moritz Bleibtreu, Herbert Knaup
Walkabout,1971,7.6,100,28000,GP,85.0,"Two city-bred siblings are stranded in the Australian Outback, where they learn to survive with the aid of an Aboriginal boy on his ""walkabout"": a ritual separation from his tribe.",Nicolas Roeg,Jenny Agutter, David Gulpilil, Luc Roeg
Just Mercy,2019,7.6,137,79000,PG-13,68.0,World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.,Destin Daniel Cretton,Michael B. Jordan, Jamie Foxx, Brie Larson
Watership Down,1978,7.6,92,41000,PG,64.0,"Hoping to escape destruction by human developers and save their community, a colony of rabbits, led by Hazel and Fiver, seek out a safe place to set up a new warren.","Martin Rosen, John Hubley",John Hurt, Richard Briers, Ralph Richardson
Enter the Dragon,1973,7.6,102,116000,R,83.0,A Shaolin martial artist travels to an island fortress to spy on an opium lord - who is also a former monk from his temple - under the guise of attending a fighting tournament.,Robert Clouse,Bruce Lee, John Saxon, Jim Kelly
The Last King of Scotland,2006,7.6,123,200000,R,74.0,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.,Kevin Macdonald,James McAvoy, Forest Whitaker, Gillian Anderson
Rushmore,1998,7.6,93,202000,R,87.0,"A teenager at Rushmore Academy falls for a much older teacher and befriends a middle-aged industrialist. Later, he finds out that his love interest and his friend are having an affair, which prompts him to begin a vendetta.",Wes Anderson,Jason Schwartzman, Bill Murray, Olivia Williams
Hotel Mumbai,2018,7.6,123,75000,R,62.0,The true story of the Taj Hotel terrorist attack in Mumbai. Hotel staff risk their lives to keep everyone safe as people make unthinkable sacrifices to protect themselves and their families.,Anthony Maras,Dev Patel, Armie Hammer, Nazanin Boniadi
God's Own Country,2017,7.6,104,38000,Not Rated,85.0,"Spring. Yorkshire. Young farmer Johnny Saxby numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker for lambing season ignites an intense relationship that sets Johnny on a new path.",Francis Lee,Josh O'Connor, Alec Secareanu, Gemma Jones
Barton Fink,1991,7.6,116,131000,R,69.0,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,"Joel Coen, Ethan Coen",John Turturro, John Goodman, Judy Davis
Giant,1956,7.6,201,43000,G,84.0,Sprawling epic covering the life of a Texas cattle rancher and his family and associates.,George Stevens,Elizabeth Taylor, Rock Hudson, James Dean
Sabrina,1954,7.6,113,72000,Approved,72.0,"After her return from school in Paris, a playboy finally takes notice of his family's chauffeur's daughter, who's long had a crush on him, but he questions his more serious brother's motives when he warns against getting involved with her.",Billy Wilder,Humphrey Bogart, Audrey Hepburn, William Holden
The Commitments,1991,7.6,118,40000,R,73.0,"Jimmy Rabbitte, an unemployed Dublin boy, decides to put together a soul band made up entirely of the Irish working class.",Alan Parker,Robert Arkins, Michael Aherne, Angeline Ball
Star Trek: First Contact,1996,7.6,111,134000,PG-13,70.0,The Borg travel back in time intent on preventing Earth's first contact with an alien species. Captain Picard and his crew pursue them to ensure that Zefram Cochrane makes his maiden flight reaching warp speed.,Jonathan Frakes,Patrick Stewart, Jonathan Frakes, Brent Spiner
The Secret World of Arrietty,2010,7.6,94,109000,G,80.0,"The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter Arrietty is discovered.",Hiromasa Yonebayashi,Bridgit Mendler, Amy Poehler, Will Arnett
Vampire Hunter D: Bloodlust,2000,7.6,103,38000,R,62.0,"A legendary dhampir competes with a motley family of bounty hunters to return a young woman, who has been seemingly abducted by a vampire, to her family.",Yoshiaki Kawajiri,Andrew Philpot, John Rafter Lee, Pamela Adlon
21 Grams,2003,7.6,124,249000,R,70.0,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",Alejandro G. Iñárritu,Sean Penn, Benicio Del Toro, Naomi Watts
A Little Princess,1995,7.6,97,38000,G,83.0,"Sara is sent to a strict boarding school after her father enlists in WWI. When he is presumed dead, the headmistress, knowing she will not receive any more money, forces the girl to become a servant.",Alfonso Cuarón,Liesel Matthews, Eleanor Bron, Liam Cunningham
The Boy Who Harnessed the Wind,2019,7.6,113,47000,TV-PG,68.0,"Against all the odds, a thirteen-year-old boy in Malawi invents an unconventional way to save his family and village from famine.",Chiwetel Ejiofor,Chiwetel Ejiofor, Maxwell Simba, Felix Lemburo
Short Cuts,1993,7.6,188,48000,R,81.0,The day-to-day lives of several suburban Los Angeles residents.,Robert Altman,Andie MacDowell, Julianne Moore, Tim Robbins
Freedom Writers,2007,7.6,123,87000,PG-13,64.0,"Erin Gruwell, a young teacher in a racially divided Los Angeles school, inspires her class of at-risk students, deemed incapable of learning, to learn tolerance, apply themselves, and pursue education beyond high school.",Richard LaGravenese,Hilary Swank, Imelda Staunton, Patrick Dempsey
Maurice,1987,7.6,140,25000,R,75.0,"Two English school chums find themselves falling in love at Cambridge. To regain his place in society, Clive gives up Maurice and marries. While staying with Clive and his wife, Maurice discovers romance in the arms of the gamekeeper Alec.",James Ivory,James Wilby, Rupert Graves, Hugh Grant
25th Hour,2002,7.6,135,187000,R,69.0,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.",Spike Lee,Edward Norton, Barry Pepper, Philip Seymour Hoffman
United 93,2006,7.6,111,113000,R,90.0,"A real-time account of the events on United Flight 93, one of the planes hijacked on September 11th, 2001 that crashed near Shanksville, Pennsylvania when passengers foiled the terrorist plot.",Paul Greengrass,David Alan Basche, Olivia Thirlby, Liza Colón-Zayas
Godzilla,1954,7.6,96,42000,Not Rated,79.0,"After a dinosaur-like beast - awoken from undersea hibernation by atom bomb testing - ravages Tokyo, a scientist must decide if his similarly dangerous weapon should be used to destroy it.",Ishirô Honda,Takashi Shimura, Akihiko Hirata, Akira Takarada
50/50,2011,7.6,100,347000,R,72.0,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",Jonathan Levine,Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick
Marcel the Shell with Shoes On,2021,7.6,90,30000,PG,80.0,A cash-strapped documentary maker decides to make his newest documentary about a mollusk shell he finds living in his Airbnb with his friends.,Dean Fleischer Camp,Jenny Slate, Dean Fleischer Camp, Isabella Rossellini
Io Capitano,2023,7.6,121,15000,Not Rated,79.0,"A Homeric fairy tale that tells the adventurous journey of two young boys, Seydou and Moussa, who leave Dakar to reach Europe.",Matteo Garrone,Seydou Sarr, Moustapha Fall, Issaka Sawadogo
Volver,2006,7.6,121,109000,R,84.0,"After her death, a mother returns to her home town in order to fix the situations she couldn't resolve during her life.",Pedro Almodóvar,Penélope Cruz, Carmen Maura, Lola Dueñas
Shelter,2007,7.6,97,25000,R,66.0,"When his college dreams are sidelined by family obligations, a young man finds comfort in surfing with his best friend's brother.",Jonah Markowitz,Trevor Wright, Brad Rowe, Tina Holmes
The Muppet Movie,1979,7.6,95,41000,G,74.0,"Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit.",James Frawley,Jim Henson, Frank Oz, Jerry Nelson
Shane,1953,7.6,118,46000,Approved,85.0,An ex-gunfighter defends homesteaders in 1889 Wyoming.,George Stevens,Alan Ladd, Jean Arthur, Van Heflin
The Kite Runner,2007,7.6,128,83000,PG-13,61.0,"Amir lives in California with his wife Soraya. He receives a call from his uncle Rahim Khan who urges him to travel to Afghanistan and rescue the son of Amir's childhood servant and friend, Hassan.",Marc Forster,Khalid Abdalla, Ahmad Khan Mahmoodzada, Atossa Leoni
McCabe & Mrs. Miller,1971,7.6,120,29000,R,93.0,"A gambler and a prostitute become business partners in a remote Old West mining town, and their enterprise thrives until a large corporation arrives on the scene.",Robert Altman,Warren Beatty, Julie Christie, Rene Auberjonois
On Golden Pond,1981,7.6,109,36000,PG,68.0,"Curmudgeon Norman is estranged from his daughter Chelsea. Nevertheless, at Golden Pond he and his wife agree to look after Billy, the son of Chelsea's new boyfriend, and a most unexpected relationship blooms.",Mark Rydell,Katharine Hepburn, Henry Fonda, Jane Fonda
From Here to Eternity,1953,7.6,118,52000,Approved,85.0,"At a U.S. Army base in 1941 Hawaii, a pugilistic private is cruelly punished for refusing to join his unit's boxing team. Meanwhile, his commanding officer's wife and top NCO are indulging in a torrid love affair.",Fred Zinnemann,Burt Lancaster, Montgomery Clift, Deborah Kerr
"Duck, You Sucker!",1971,7.6,138,39000,PG,77.0,A low-life bandit and an I.R.A. explosives expert rebel against the government and become heroes of the Mexican Revolution.,Sergio Leone,Rod Steiger, James Coburn, Romolo Valli
The Station Agent,2003,7.6,89,75000,R,81.0,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.",Tom McCarthy,Peter Dinklage, Patricia Clarkson, Bobby Cannavale
Nashville,1975,7.6,160,29000,R,96.0,"Over the course of a few hectic days, numerous interrelated people prepare for a political convention.",Robert Altman,Keith Carradine, Karen Black, Ronee Blakley
My Life as a Dog,1985,7.6,101,23000,Unrated,82.0,"In the late '50s, young Ingemar learns a lot about life and himself when he is sent away from his sick mother to live with his aunt and uncle in a town full of eccentrics.",Lasse Hallström,Anton Glanzelius, Tomas von Brömssen, Anki Lidén
Victoria,2015,7.6,138,65000,Not Rated,77.0,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,Sebastian Schipper,Laia Costa, Frederick Lau, Franz Rogowski
Running on Empty,1988,7.6,116,19000,PG-13,67.0,The eldest son of a fugitive family comes of age and wants to live his own life.,Sidney Lumet,River Phoenix, Christine Lahti, Judd Hirsch
The Little Prince,2015,7.6,108,68000,PG,70.0,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince.",Mark Osborne,Jeff Bridges, Mackenzie Foy, Rachel McAdams
The Invisible Man,1933,7.6,71,42000,Approved,87.0,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.",James Whale,Claude Rains, Gloria Stuart, William Harrigan
Repulsion,1965,7.6,105,59000,Not Rated,91.0,A withdrawn manicurist who disapproves of her sister's boyfriend sinks into depression and experiences horrific visions of violence.,Roman Polanski,Catherine Deneuve, Ian Hendry, John Fraser
The Social Dilemma,2020,7.6,94,91000,PG-13,78.0,Explores the dangerous human impact of social networking; tech experts sound the alarm on their own creations.,Jeff Orlowski-Yang,Tristan Harris, Jeff Seibert, Bailey Richardson
Frost/Nixon,2008,7.6,122,114000,R,80.0,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.,Ron Howard,Frank Langella, Michael Sheen, Kevin Bacon
The Taking of Pelham One Two Three,1974,7.6,104,38000,R,68.0,"Four armed men hijack a New York City subway car and demand a ransom for the passengers. The city's police are faced with a conundrum: Even if it's paid, how could they get away?",Joseph Sargent,Walter Matthau, Robert Shaw, Martin Balsam
The 39 Steps,1935,7.6,86,63000,Approved,93.0,"A man in London tries to help a counter-espionage agent, but when the agent is killed and the man stands accused, he must go on the run to save himself and stop a spy ring that is trying to steal top-secret information.",Alfred Hitchcock,Robert Donat, Madeleine Carroll, Lucie Mannheim
One Cut of the Dead,2017,7.6,96,32000,Not Rated,86.0,"Things go badly for a hack director and film crew shooting a low budget zombie movie in an abandoned WWII Japanese facility, when they are attacked by real zombies.",Shin'ichirô Ueda,Takayuki Hamatsu, Yuzuki Akiyama, Harumi Shuhama
Weekend,2011,7.6,97,34000,Not Rated,81.0,"After a drunken house party with his straight mates, Russell heads out to a gay club. Just before closing time he picks up Glen but what's expected to be just a one-night stand becomes something else, something special.",Andrew Haigh,Tom Cullen, Chris New, Jonathan Race
Control,2007,7.6,122,70000,R,78.0,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to die by suicide at the age of 23.",Anton Corbijn,Sam Riley, Samantha Morton, Craig Parkinson
When Marnie Was There,2014,7.6,103,51000,PG,72.0,"Anna, a shy 12-year-old girl, is sent to spend time with her aunt and uncle who live in the countryside, where she meets Marnie. The two become best friends. But Anna gradually discovers that Marnie is not quite who she appears to be.",Hiromasa Yonebayashi,Sara Takatsuki, Kasumi Arimura, Nanako Matsushima
A Very Long Engagement,2004,7.6,133,77000,R,76.0,"Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.",Jean-Pierre Jeunet,Audrey Tautou, Gaspard Ulliel, Jodie Foster
Seconds,1966,7.6,106,23000,R,71.0,An unhappy middle-aged banker agrees to a procedure that will fake his death and give him a completely new look and identity - one that comes with its own price.,John Frankenheimer,Rock Hudson, Frank Campanella, John Randolph
And Then We Danced,2019,7.6,113,15000,Not Rated,68.0,"A passionate coming-of-age tale set amidst the conservative confines of modern Tbilisi, the film follows Merab, a competitive dancer who is thrown off balance by the arrival of Irakli, a fellow male dancer with a rebellious streak.",Levan Akin,Levan Gelbakhiani, Bachi Valishvili, Ana Javakishvili
Eyes Without a Face,1960,7.6,90,37000,Approved,90.0,A surgeon causes an accident which leaves his daughter disfigured and goes to extreme lengths to give her a new face.,Georges Franju,Pierre Brasseur, Alida Valli, Juliette Mayniel
Vera Drake,2004,7.6,125,28000,R,83.0,Abortionist Vera Drake finds her beliefs and practices clash with the mores of 1950s Britain--a conflict that leads to tragedy for her family.,Mike Leigh,Imelda Staunton, Jim Broadbent, Heather Craney
The Shootist,1976,7.6,100,28000,PG,77.0,A dying gunfighter spends his last days looking for a way to die with a minimum of pain and a maximum of dignity.,Don Siegel,John Wayne, Lauren Bacall, Ron Howard
"To Sir, with Love",1967,7.6,105,21000,Approved,55.0,Idealistic engineer-trainee and his experiences in teaching a group of rambunctious white high school students from the slums of London's East End.,James Clavell,Sidney Poitier, Judy Geeson, Christian Roberts
Wake in Fright,1971,7.6,109,15000,R,85.0,"After a bad gambling bet, a schoolteacher is marooned in a town full of crazy, drunk, violent men who threaten to make him just as crazy, drunk, and violent.",Ted Kotcheff,Donald Pleasence, Gary Bond, Chips Rafferty
The Double Life of Véronique,1991,7.6,98,55000,R,86.0,"Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected.",Krzysztof Kieslowski,Irène Jacob, Wladyslaw Kowalski, Halina Gryglaszewska
Victor/Victoria,1982,7.6,134,24000,PG,84.0,"A struggling female soprano in 1934 Paris finally finds work after posing as a female impersonator, but it complicates her personal life when a visiting Chicago gangster finds himself inexplicably attracted to the seemingly male performer.",Blake Edwards,Julie Andrews, James Garner, Robert Preston
Shine,1996,7.6,105,58000,PG-13,87.0,"David Helfgott, a gifted pianist, struggles through childhood as his dysfunctional father abuses him and his siblings. Years later, he suffers a mental breakdown but manages to return as a legend.",Scott Hicks,Geoffrey Rush, Armin Mueller-Stahl, Justin Braine
Leviathan,2014,7.6,140,58000,R,92.0,"In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family.",Andrey Zvyagintsev,Aleksey Serebryakov, Elena Lyadova, Roman Madyanov
Three Colors: White,1994,7.6,92,82000,R,91.0,"After his wife divorces him, a Polish immigrant plots to get even with her.",Krzysztof Kieslowski,Zbigniew Zamachowski, Julie Delpy, Janusz Gajos
The Odd Couple,1968,7.6,105,38000,G,86.0,"A New Yorker newly separated from his wife moves in with his best friend, a divorced sportswriter, but their ideas of housekeeping and lifestyles are as different as night and day.",Gene Saks,Jack Lemmon, Walter Matthau, John Fiedler
Three Identical Strangers,2018,7.6,96,42000,PG-13,81.0,"In 1980 New York, three young men who were all adopted meet each other and find out they're triplets who were separated at birth. But their quest to find out why turns into a bizarre and sinister mystery.",Tim Wardle,Robert Shafran, Michael Domnitz, Howard Schneider
Down by Law,1986,7.6,107,57000,R,75.0,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.",Jim Jarmusch,Tom Waits, John Lurie, Roberto Benigni
Only Yesterday,1991,7.6,119,39000,PG,90.0,A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.,Isao Takahata,Miki Imai, Toshirô Yanagiba, Yoko Honna
"Argentina, 1985",2022,7.6,140,33000,R,78.0,A team of lawyers takes on the heads of Argentina's bloody military dictatorship during the 1980s in a battle against odds and a race against time.,Santiago Mitre,Ricardo Darín, Gina Mastronicola, Francisco Bertín
Fearless,2006,7.6,104,80000,PG-13,70.0,"A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation.",Ronny Yu,Jet Li, Li Sun, Yong Dong
